Date,Shallot,Garlic,Rice,Chili pepper,Cayenne pepper,Broiler meat,Topside beef,Granulated sugar,Cooking oil,Chicken egg
3/28/16,40561,36878,10867,41070,44877,29882,112112,13083,14771,22749
3/29/16,40859,36341,10871,41178,45901,30286,112595,13058,14753,22672
3/30/16,41117,36763,10860,39848,43680,29771,112618,13073,14834,22741
3/31/16,41963,36569,10849,40063,44672,29919,112769,13093,14823,21886
4/1/16,41908,37066,11751,39624,43128,30140,112332,13104,14817,21903
4/2/16,42218,37471,10739,38641,44793,30736,112711,13052,14925,21876
4/3/16,41743,37463,10721,38539,44679,30546,112294,13054,14923,22273
4/4/16,42916,36791,10786,37525,39996,29997,112171,13101,14821,22000
4/5/16,42680,36708,10758,37177,37829,29955,112350,13141,14813,22415
4/6/16,42739,36718,10711,36938,37545,29939,111945,13162,14802,22346
4/7/16,42995,37160,10714,35674,36850,30019,112257,13138,14808,22717
4/8/16,43296,37320,10728,34904,36722,29886,111963,13139,14804,22189
4/9/16,43743,38042,10554,34797,38855,29200,113130,13059,14886,21915
4/10/16,43662,38059,10566,33609,37268,28960,111853,13065,14917,22075
4/11/16,42976,36934,10734,32462,34379,29692,111433,13117,14804,22120
4/12/16,43049,36645,10703,32911,34904,29770,111818,13141,14799,22681
4/13/16,43248,36670,10700,32864,34491,29639,111888,13137,14820,22722
4/14/16,43571,36814,10695,32306,34996,29405,111792,13130,14820,22657
4/15/16,43203,36582,10714,31198,33831,29350,112091,13151,14815,23102
4/16/16,44044,37750,10612,31219,35536,29090,112368,13117,14915,22470
4/17/16,43750,37897,10612,31234,35839,28825,112000,13084,14899,22481
4/18/16,42797,36433,10689,31710,34007,29481,111793,13123,14857,22747
4/19/16,42394,36149,10665,31315,34119,29445,111928,13143,14836,22728
4/20/16,42060,36270,10654,31234,34638,29470,111968,13182,14841,22708
4/21/16,42416,36266,10655,31176,34116,29576,111962,13208,14851,22729
4/22/16,42679,36156,10660,31227,33979,29046,111156,13213,14843,22639
4/23/16,43412,36257,10585,31141,34670,29435,112441,13157,14930,22563
4/24/16,43118,36250,10576,30922,34000,28972,111779,13157,14930,22283
4/25/16,42124,35736,10616,32022,34416,29265,111978,13215,14848,22639
4/26/16,42225,35596,10660,31571,34379,29574,111915,13245,14733,22645
4/27/16,42315,35525,10640,31436,32478,29234,111871,13244,14841,22465
4/28/16,42187,35197,10642,31670,33690,29673,111927,13265,14782,22574
4/29/16,42594,35376,10616,31107,33347,28784,112550,13288,14787,22370
4/30/16,42093,35358,10525,30622,34282,29672,112022,13241,14863,22408
5/1/16,42603,35441,10532,30688,33172,29457,111809,13228,14805,22418
5/2/16,42294,35363,10617,31454,33355,30023,111918,13499,14815,22619
5/3/16,42438,35439,10586,31686,33402,30086,111814,13564,14808,22715
5/4/16,42397,35614,10589,31763,33550,29786,111435,13627,14776,22569
5/5/16,41917,35098,10492,30849,32155,29231,110279,13409,14944,22532
5/6/16,41515,35294,10492,31453,32464,29403,110118,13434,14959,22290
5/7/16,41956,36294,10526,31469,34214,29418,110603,13512,14891,22347
5/8/16,41882,35897,10596,31500,34161,29330,112147,13588,14884,22297
5/9/16,42678,35793,10583,32564,34959,30326,111901,14061,14811,22773
5/10/16,43413,35842,10577,32304,34430,31107,112080,14287,14902,22787
5/11/16,43148,35681,10587,32518,34371,31136,112229,14550,14845,22749
5/12/16,43040,35826,10576,32084,34058,31122,112134,14725,14854,22752
5/13/16,42879,35978,10579,31572,33160,30329,111904,14805,14851,22578
5/14/16,42779,36478,10513,31633,33732,31326,112588,14550,14970,22608
5/15/16,42770,36647,10507,31328,32958,30640,112074,14669,15084,22818
5/16/16,42880,36653,10596,31272,33787,31428,112455,15020,14929,22557
5/17/16,42606,36558,10575,31644,34565,31456,112484,15019,14862,22866
5/18/16,43151,36761,10576,31520,34678,31321,112396,15068,14913,23352
5/19/16,42706,37016,10580,31243,34794,31360,112457,15130,14935,23240
5/20/16,42654,37491,10573,31161,34844,30743,112490,15096,14925,23417
5/21/16,43713,38303,10578,30806,34773,31096,112279,15007,14977,22890
5/22/16,43809,38154,10540,30938,35714,30767,112132,14993,15009,22938
5/23/16,42470,37825,10564,31895,35174,31644,113074,15209,14941,23487
5/24/16,42170,37585,10597,31663,35506,31854,112355,15204,14925,23639
5/25/16,42059,37149,10604,31155,35571,32061,112992,15231,14917,23661
5/26/16,41945,37710,10559,31393,35421,32180,112995,15319,14981,23706
5/27/16,41810,38084,10563,31211,35674,32306,112745,15333,14937,23868
5/28/16,42346,38426,10513,31191,36518,32329,112779,15273,15061,23368
5/29/16,42434,38559,10602,31355,35839,31608,112735,15236,15077,23244
5/30/16,40972,38020,10590,30858,35841,32516,114058,15471,15024,24341
5/31/16,40158,37479,10549,31412,35378,33053,113312,15513,14965,24395
6/1/16,40165,37817,10559,31497,36062,33517,113445,15531,14981,24436
6/2/16,39822,37695,10540,31314,36010,33658,114082,15557,14985,24623
6/3/16,39515,37702,10573,31435,35904,33870,114060,15617,15007,24788
6/4/16,39563,38081,10549,31861,35416,33500,115015,15529,15061,24103
6/5/16,39728,38191,10516,32297,35036,33004,115309,15537,15153,23975
6/6/16,38567,37793,10543,33177,36778,33717,115643,15585,14924,24934
6/7/16,38406,37706,10544,34274,36973,33639,115247,15641,14967,24963
