Date,Shallot
1/1/16,"35,774"
1/2/16,"35,068"
1/3/16,"35,318"
1/4/16,"35,757"
1/5/16,"36,236"
1/6/16,"36,389"
1/7/16,"36,422"
1/8/16,"36,125"
1/9/16,"35,935"
1/10/16,"35,891"
1/11/16,"36,755"
1/12/16,"36,432"
1/13/16,"36,633"
1/14/16,"36,591"
1/15/16,"36,689"
1/16/16,"35,969"
1/17/16,"35,896"
1/18/16,"35,939"
1/19/16,"35,629"
1/20/16,"35,311"
1/21/16,"34,846"
1/22/16,"34,782"
1/23/16,"34,463"
1/24/16,"34,110"
1/25/16,"33,725"
1/26/16,"33,562"
1/27/16,"33,830"
1/28/16,"33,955"
1/29/16,"33,180"
1/30/16,"32,801"
1/31/16,"32,728"
2/1/16,"31,877"
2/2/16,"31,342"
2/3/16,"31,325"
2/4/16,"31,331"
2/5/16,"31,243"
2/6/16,"30,897"
2/7/16,"30,897"
2/8/16,"31,059"
2/9/16,"30,571"
2/10/16,"30,375"
2/11/16,"30,536"
2/12/16,"30,113"
2/13/16,"29,941"
2/14/16,"29,853"
2/15/16,"30,009"
2/16/16,"30,307"
2/17/16,"29,828"
2/18/16,"29,805"
2/19/16,"29,910"
2/20/16,"30,309"
2/21/16,"30,265"
2/22/16,"30,212"
2/23/16,"30,674"
2/24/16,"30,922"
2/25/16,"31,501"
2/26/16,"32,013"
2/27/16,"32,096"
2/28/16,"32,007"
2/29/16,"33,866"
3/1/16,"33,126"
3/2/16,"33,348"
3/3/16,"34,165"
3/4/16,"34,857"
3/5/16,"35,674"
3/6/16,"35,278"
3/7/16,"35,993"
3/8/16,"36,607"
3/9/16,"36,355"
3/10/16,"36,833"
3/11/16,"36,952"
3/12/16,"37,373"
3/13/16,"37,706"
3/14/16,"38,133"
3/15/16,"38,347"
3/16/16,"38,796"
3/17/16,"38,906"
3/18/16,"38,613"
3/19/16,"38,806"
3/20/16,"39,015"
3/21/16,"39,094"
3/22/16,"39,172"
3/23/16,"38,839"
3/24/16,"39,285"
3/25/16,"39,377"
3/26/16,"40,436"
3/27/16,"40,471"
3/28/16,"40,561"
3/29/16,"40,859"
3/30/16,"41,117"
3/31/16,"41,963"
4/1/16,"41,908"
4/2/16,"42,218"
4/3/16,"41,743"
4/4/16,"42,916"
4/5/16,"42,680"
4/6/16,"42,739"
4/7/16,"42,995"
4/8/16,"43,296"
4/9/16,"43,743"
4/10/16,"43,662"
4/11/16,"42,976"
4/12/16,"43,049"
4/13/16,"43,248"
4/14/16,"43,571"
4/15/16,"43,203"
4/16/16,"44,044"
4/17/16,"43,750"
4/18/16,"42,797"
4/19/16,"42,394"
4/20/16,"42,060"
4/21/16,"42,416"
4/22/16,"42,679"
4/23/16,"43,412"
4/24/16,"43,118"
4/25/16,"42,124"
4/26/16,"42,225"
4/27/16,"42,315"
4/28/16,"42,187"
4/29/16,"42,594"
4/30/16,"42,093"
5/1/16,"42,603"
5/2/16,"42,294"
5/3/16,"42,438"
5/4/16,"42,397"
5/5/16,"41,917"
5/6/16,"41,515"
5/7/16,"41,956"
5/8/16,"41,882"
5/9/16,"42,678"
5/10/16,"43,413"
5/11/16,"43,148"
5/12/16,"43,040"
5/13/16,"42,879"
5/14/16,"42,779"
5/15/16,"42,770"
5/16/16,"42,880"
5/17/16,"42,606"
5/18/16,"43,151"
5/19/16,"42,706"
5/20/16,"42,654"
5/21/16,"43,713"
5/22/16,"43,809"
5/23/16,"42,470"
5/24/16,"42,170"
5/25/16,"42,059"
5/26/16,"41,945"
5/27/16,"41,810"
5/28/16,"42,346"
5/29/16,"42,434"
5/30/16,"40,972"
5/31/16,"40,158"
6/1/16,"40,165"
6/2/16,"39,822"
6/3/16,"39,515"
6/4/16,"39,563"
6/5/16,"39,728"
6/6/16,"38,567"
6/7/16,"38,406"
6/8/16,"38,389"
6/9/16,"38,201"
6/10/16,"37,744"
6/11/16,"38,604"
6/12/16,"38,441"
6/13/16,"37,115"
6/14/16,"37,111"
6/15/16,"36,985"
6/16/16,"36,781"
6/17/16,"36,764"
6/18/16,"37,625"
6/19/16,"37,426"
6/20/16,"36,745"
6/21/16,"36,873"
6/22/16,"36,781"
6/23/16,"36,733"
6/24/16,"36,745"
6/25/16,"37,397"
6/26/16,"37,265"
6/27/16,"36,947"
6/28/16,"37,032"
6/29/16,"37,643"
6/30/16,"37,690"
7/1/16,"41,450"
7/2/16,"38,643"
7/3/16,"39,149"
7/4/16,"40,045"
7/5/16,"40,646"
7/6/16,"40,245"
7/7/16,"40,255"
7/8/16,"40,017"
7/9/16,"40,397"
7/10/16,"40,456"
7/11/16,"40,327"
7/12/16,"41,525"
7/13/16,"41,807"
7/14/16,"41,672"
7/15/16,"42,100"
