Date,Shallot
7/16/16,"42,493"
7/17/16,"42,235"
7/18/16,"42,998"
7/19/16,"42,417"
7/20/16,"42,701"
7/21/16,"42,941"
7/22/16,"43,138"
7/23/16,"42,983"
7/24/16,"42,485"
7/25/16,"43,908"
7/26/16,"44,172"
7/27/16,"43,946"
7/28/16,"44,644"
7/29/16,"44,548"
7/30/16,"45,076"
7/31/16,"44,846"
8/1/16,"44,066"
8/2/16,"44,017"
8/3/16,"43,553"
8/4/16,"43,493"
8/5/16,"42,995"
8/6/16,"43,853"
8/7/16,"43,574"
8/8/16,"42,978"
8/9/16,"42,463"
8/10/16,"42,114"
8/11/16,"41,582"
8/12/16,"41,057"
8/13/16,"42,125"
8/14/16,"41,574"
8/15/16,"40,540"
8/16/16,"40,082"
8/17/16,"39,897"
8/18/16,"40,010"
8/19/16,"39,867"
8/20/16,"40,410"
8/21/16,"40,235"
8/22/16,"39,634"
8/23/16,"39,412"
8/24/16,"39,188"
8/25/16,"38,934"
8/26/16,"39,279"
8/27/16,"39,228"
8/28/16,"39,206"
8/29/16,"38,626"
8/30/16,"38,880"
8/31/16,"39,385"
9/1/16,"38,883"
9/2/16,"38,986"
9/3/16,"39,199"
9/4/16,"39,426"
9/5/16,"39,997"
9/6/16,"40,275"
9/7/16,"40,725"
9/8/16,"41,029"
9/9/16,"41,473"
9/10/16,"41,993"
9/11/16,"42,044"
9/12/16,"41,941"
9/13/16,"42,241"
9/14/16,"41,710"
9/15/16,"41,241"
9/16/16,"41,125"
9/17/16,"40,860"
9/18/16,"40,838"
9/19/16,"40,625"
9/20/16,"40,838"
9/21/16,"40,719"
9/22/16,"40,292"
9/23/16,"40,320"
9/24/16,"40,786"
9/25/16,"40,662"
9/26/16,"39,483"
9/27/16,"39,106"
9/28/16,"38,986"
9/29/16,"39,361"
9/30/16,"39,161"
10/1/16,"39,096"
10/2/16,"39,294"
10/3/16,"38,108"
10/4/16,"37,862"
10/5/16,"37,639"
10/6/16,"37,841"
10/7/16,"37,805"
10/8/16,"37,904"
10/9/16,"37,426"
10/10/16,"37,190"
10/11/16,"36,428"
10/12/16,"36,087"
10/13/16,"35,932"
10/14/16,"36,064"
10/15/16,"35,500"
10/16/16,"35,412"
10/17/16,"35,870"
10/18/16,"35,735"
10/19/16,"35,307"
10/20/16,"35,465"
10/21/16,"35,585"
10/22/16,"34,515"
10/23/16,"34,456"
10/24/16,"34,976"
10/25/16,"35,481"
10/26/16,"35,471"
10/27/16,"36,107"
10/28/16,"35,672"
10/29/16,"35,794"
10/30/16,"35,294"
10/31/16,"36,803"
11/1/16,"37,117"
11/2/16,"37,007"
11/3/16,"37,607"
11/4/16,"38,038"
11/5/16,"37,787"
11/6/16,"37,853"
11/7/16,"39,118"
11/8/16,"39,636"
11/9/16,"40,811"
11/10/16,"40,905"
11/11/16,"40,820"
11/12/16,"40,897"
11/13/16,"40,676"
11/14/16,"42,417"
11/15/16,"42,817"
11/16/16,"43,158"
11/17/16,"43,465"
11/18/16,"43,428"
11/19/16,"43,235"
11/20/16,"42,978"
11/21/16,"43,733"
11/22/16,"43,129"
11/23/16,"42,630"
11/24/16,"42,626"
11/25/16,"42,940"
11/26/16,"43,566"
11/27/16,"43,691"
11/28/16,"42,041"
11/29/16,"41,979"
11/30/16,"42,063"
12/1/16,"41,504"
12/2/16,"41,414"
12/3/16,"41,574"
12/4/16,"41,368"
12/5/16,"40,859"
12/6/16,"40,594"
12/7/16,"40,567"
12/8/16,"40,481"
12/9/16,"40,987"
12/10/16,"41,054"
12/11/16,"41,118"
12/12/16,"40,941"
12/13/16,"41,288"
12/14/16,"41,335"
12/15/16,"40,889"
12/16/16,"40,740"
12/17/16,"41,571"
12/18/16,"41,618"
12/19/16,"39,797"
12/20/16,"39,533"
12/21/16,"39,402"
12/22/16,"39,145"
12/23/16,"39,215"
12/24/16,"39,044"
12/25/16,"39,165"
12/26/16,"38,722"
12/27/16,"38,004"
12/28/16,"37,751"
12/29/16,"37,263"
12/30/16,"37,145"
12/31/16,"37,985"
1/1/17,"38,162"
1/2/17,"37,515"
1/3/17,"36,990"
1/4/17,"36,450"
1/5/17,"36,702"
1/6/17,"37,320"
1/7/17,"37,529"
1/8/17,"37,647"
1/9/17,"37,112"
1/10/17,"36,815"
1/11/17,"37,071"
1/12/17,"36,657"
1/13/17,"36,449"
1/14/17,"36,176"
1/15/17,"36,265"
1/16/17,"36,016"
1/17/17,"35,970"
1/18/17,"35,868"
1/19/17,"35,639"
1/20/17,"35,592"
1/21/17,"35,769"
1/22/17,"35,666"
1/23/17,"35,280"
1/24/17,"35,195"
1/25/17,"34,851"
1/26/17,"34,718"
1/27/17,"34,516"
1/28/17,"34,853"
1/29/17,"34,794"
1/30/17,"34,531"
1/31/17,"34,010"
2/1/17,"34,101"
2/2/17,"34,321"
2/3/17,"34,296"
2/4/17,"34,147"
2/5/17,"33,956"
2/6/17,"34,715"
2/7/17,"35,068"
2/8/17,"35,394"
2/9/17,"35,571"
2/10/17,"35,779"
2/11/17,"35,838"
2/12/17,"35,868"
2/13/17,"36,972"
2/14/17,"37,006"
2/15/17,"36,324"
2/16/17,"37,441"
2/17/17,"37,244"
2/18/17,"37,368"
2/19/17,"37,250"
2/20/17,"37,688"
2/21/17,"37,697"
2/22/17,"37,423"
2/23/17,"37,510"
2/24/17,"37,648"
2/25/17,"37,574"
2/26/17,"37,441"
2/27/17,"37,848"
2/28/17,"37,527"
3/1/17,"38,076"
3/2/17,"38,079"
3/3/17,"38,225"
3/4/17,"38,529"
3/5/17,"38,279"
3/6/17,"39,012"
3/7/17,"39,056"
3/8/17,"39,220"
3/9/17,"39,146"
3/10/17,"39,207"
3/11/17,"39,044"
3/12/17,"38,901"
3/13/17,"39,206"
3/14/17,"39,023"
3/15/17,"38,403"
3/16/17,"38,553"
3/17/17,"38,439"
3/18/17,"38,162"
3/19/17,"38,382"
3/20/17,"37,432"
3/21/17,"37,212"
3/22/17,"37,121"
3/23/17,"37,130"
3/24/17,"36,650"
3/25/17,"36,368"
3/26/17,"36,309"
3/27/17,"36,309"
3/28/17,"36,353"
3/29/17,"35,884"
3/30/17,"35,085"
3/31/17,"35,468"
4/1/17,"35,294"
4/2/17,"35,000"
4/3/17,"34,588"
4/4/17,"35,017"
4/5/17,"35,180"
4/6/17,"34,626"
4/7/17,"34,532"
4/8/17,"34,853"
4/9/17,"34,824"
4/10/17,"34,505"
4/11/17,"34,745"
4/12/17,"34,590"
4/13/17,"34,464"
4/14/17,"34,250"
4/15/17,"34,515"
4/16/17,"34,574"
4/17/17,"33,578"
4/18/17,"33,563"
4/19/17,"33,305"
4/20/17,"33,127"
4/21/17,"33,202"
4/22/17,"33,463"
4/23/17,"33,500"
4/24/17,"33,382"
4/25/17,"32,826"
4/26/17,"32,430"
4/27/17,"33,785"
4/28/17,"32,476"
4/29/17,"32,066"
4/30/17,"32,801"
5/1/17,"32,250"
5/2/17,"31,840"
5/3/17,"31,615"
5/4/17,"31,716"
5/5/17,"31,916"
5/6/17,"32,199"
5/7/17,"31,772"
5/8/17,"31,741"
5/9/17,"31,223"
5/10/17,"31,068"
5/11/17,"31,253"
5/12/17,"31,071"
5/13/17,"31,358"
5/14/17,"31,265"
5/15/17,"30,691"
5/16/17,"30,658"
5/17/17,"30,477"
5/18/17,"30,854"
5/19/17,"30,524"
5/20/17,"30,743"
5/21/17,"30,863"
5/22/17,"30,175"
5/23/17,"29,954"
5/24/17,"30,061"
5/25/17,"30,206"
5/26/17,"29,853"
5/27/17,"30,588"
5/28/17,"30,551"
5/29/17,"30,244"
5/30/17,"30,586"
5/31/17,"30,467"
6/1/17,"30,369"
6/2/17,"30,306"
6/3/17,"30,316"
6/4/17,"30,419"
6/5/17,"30,553"
6/6/17,"30,517"
6/7/17,"30,710"
6/8/17,"30,762"
6/9/17,"30,867"
6/10/17,"31,074"
6/11/17,"31,162"
6/12/17,"31,340"
6/13/17,"31,200"
6/14/17,"31,385"
6/15/17,"31,297"
6/16/17,"31,596"
6/17/17,"32,044"
6/18/17,"32,338"
6/19/17,"31,880"
6/20/17,"32,196"
6/21/17,"32,965"
6/22/17,"33,320"
6/23/17,"34,350"
6/24/17,"35,650"
6/25/17,"36,074"
6/26/17,"36,059"
6/27/17,"35,786"
6/28/17,"36,035"
6/29/17,"35,829"
6/30/17,"35,793"
7/1/17,"36,096"
7/2/17,"36,425"
7/3/17,"35,852"
7/4/17,"36,019"
7/5/17,"36,230"
7/6/17,"36,394"
7/7/17,"37,430"
7/8/17,"38,441"
7/9/17,"38,456"
7/10/17,"38,159"
7/11/17,"37,849"
7/12/17,"37,386"
7/13/17,"37,347"
7/14/17,"37,187"
7/15/17,"37,046"
7/16/17,"36,443"
7/17/17,"36,531"
7/18/17,"37,054"
7/19/17,"36,589"
7/20/17,"36,787"
7/21/17,"36,497"
7/22/17,"36,700"
7/23/17,"36,185"
7/24/17,"35,635"
7/25/17,"35,298"
7/26/17,"34,524"
7/27/17,"33,923"
7/28/17,"34,188"
7/29/17,"33,843"
7/30/17,"33,607"
7/31/17,"33,156"
8/1/17,"32,781"
8/2/17,"32,573"
8/3/17,"32,245"
8/4/17,"32,158"
8/5/17,"32,015"
8/6/17,"31,868"
8/7/17,"31,600"
8/8/17,"31,532"
8/9/17,"31,301"
8/10/17,"31,166"
8/11/17,"30,699"
8/12/17,"30,727"
8/13/17,"30,621"
8/14/17,"30,747"
8/15/17,"30,561"
8/16/17,"30,254"
8/17/17,"30,941"
8/18/17,"29,719"
8/19/17,"30,029"
8/20/17,"29,868"
8/21/17,"28,836"
8/22/17,"28,733"
8/23/17,"28,806"
8/24/17,"28,513"
8/25/17,"28,587"
8/26/17,"28,647"
8/27/17,"28,750"
8/28/17,"28,094"
8/29/17,"28,112"
8/30/17,"28,266"
8/31/17,"28,190"
9/1/17,"27,691"
9/2/17,"28,184"
9/3/17,"28,250"
9/4/17,"28,052"
9/5/17,"27,996"
9/6/17,"27,694"
9/7/17,"27,750"
9/8/17,"27,297"
9/9/17,"27,544"
9/10/17,"27,721"
9/11/17,"27,278"
9/12/17,"27,005"
9/13/17,"27,076"
9/14/17,"26,974"
9/15/17,"26,817"
9/16/17,"26,484"
9/17/17,"26,809"
9/18/17,"26,717"
9/19/17,"26,449"
9/20/17,"26,511"
9/21/17,"26,794"
9/22/17,"25,719"
9/23/17,"26,382"
9/24/17,"26,561"
9/25/17,"25,544"
9/26/17,"25,247"
9/27/17,"25,110"
9/28/17,"25,317"
9/29/17,"25,163"
9/30/17,"25,926"
10/1/17,"25,971"
10/2/17,"24,607"
10/3/17,"24,196"
10/4/17,"24,065"
10/5/17,"23,918"
10/6/17,"23,853"
10/7/17,"24,515"
10/8/17,"24,636"
10/9/17,"23,429"
10/10/17,"23,408"
10/11/17,"23,239"
10/12/17,"23,175"
10/13/17,"23,034"
10/14/17,"24,297"
10/15/17,"24,221"
10/16/17,"22,905"
10/17/17,"22,870"
10/18/17,"22,928"
10/19/17,"22,833"
10/20/17,"22,694"
10/21/17,"23,353"
10/22/17,"23,882"
10/23/17,"22,487"
10/24/17,"22,736"
10/25/17,"22,734"
10/26/17,"22,990"
10/27/17,"22,787"
10/28/17,"23,243"
10/29/17,"23,603"
10/30/17,"22,693"
10/31/17,"23,168"
11/1/17,"23,178"
11/2/17,"23,662"
11/3/17,"23,625"
11/4/17,"23,456"
11/5/17,"23,554"
11/6/17,"23,657"
11/7/17,"23,994"
11/8/17,"24,028"
11/9/17,"24,113"
11/10/17,"24,528"
11/11/17,"25,053"
11/12/17,"25,162"
11/13/17,"24,612"
11/14/17,"24,677"
11/15/17,"24,844"
11/16/17,"25,095"
11/17/17,"25,210"
11/18/17,"25,313"
11/19/17,"25,564"
11/20/17,"25,400"
11/21/17,"25,459"
11/22/17,"25,424"
11/23/17,"25,291"
11/24/17,"25,404"
11/25/17,"26,029"
11/26/17,"25,706"
11/27/17,"25,458"
11/28/17,"25,575"
11/29/17,"25,675"
11/30/17,"25,610"
12/1/17,"24,848"
12/2/17,"25,637"
12/3/17,"25,485"
12/4/17,"25,356"
12/5/17,"25,591"
12/6/17,"25,339"
12/7/17,"25,511"
12/8/17,"25,321"
12/9/17,"25,755"
12/10/17,"25,456"
12/11/17,"25,256"
12/12/17,"25,473"
12/13/17,"25,286"
12/14/17,"25,212"
12/15/17,"25,387"
12/16/17,"25,559"
12/17/17,"25,309"
12/18/17,"25,413"
12/19/17,"25,365"
12/20/17,"25,195"
12/21/17,"25,313"
12/22/17,"25,219"
12/23/17,"25,685"
12/24/17,"25,606"
12/25/17,"25,549"
12/26/17,"25,342"
12/27/17,"25,477"
12/28/17,"25,667"
12/29/17,"25,338"
12/30/17,"25,813"
12/31/17,"25,659"
1/1/18,"25,406"
1/2/18,"25,377"
1/3/18,"25,578"
1/4/18,"25,598"
1/5/18,"25,473"
1/6/18,"25,779"
1/7/18,"25,632"
1/8/18,"25,615"
1/9/18,"25,670"
1/10/18,"25,616"
1/11/18,"25,310"
1/12/18,"25,514"
1/13/18,"25,544"
1/14/18,"25,530"
1/15/18,"25,248"
1/16/18,"25,331"
1/17/18,"25,033"
1/18/18,"24,768"
1/19/18,"24,759"
1/20/18,"25,125"
1/21/18,"24,941"
1/22/18,"24,748"
1/23/18,"24,735"
1/24/18,"24,350"
1/25/18,"24,259"
1/26/18,"24,277"
1/27/18,"24,578"
1/28/18,"24,498"
1/29/18,"24,832"
1/30/18,"24,074"
1/31/18,"24,009"
2/1/18,"24,030"
2/2/18,"24,155"
2/3/18,"24,176"
2/4/18,"24,162"
2/5/18,"24,512"
2/6/18,"24,600"
2/7/18,"24,881"
2/8/18,"25,095"
2/9/18,"25,274"
2/10/18,"25,270"
2/11/18,"24,865"
2/12/18,"24,912"
2/13/18,"25,319"
2/14/18,"25,491"
2/15/18,"25,412"
2/16/18,"25,456"
2/17/18,"25,588"
2/18/18,"25,727"
2/19/18,"25,319"
2/20/18,"25,325"
2/21/18,"25,452"
2/22/18,"25,441"
2/23/18,"25,747"
2/24/18,"25,338"
2/25/18,"25,404"
2/26/18,"26,135"
2/27/18,"25,626"
2/28/18,"25,597"
3/1/18,"25,924"
3/2/18,"25,838"
3/3/18,"26,212"
3/4/18,"26,881"
3/5/18,"25,933"
3/6/18,"26,175"
3/7/18,"26,625"
3/8/18,"26,405"
3/9/18,"26,421"
3/10/18,"26,597"
3/11/18,"26,458"
3/12/18,"26,620"
3/13/18,"26,590"
3/14/18,"26,626"
3/15/18,"26,814"
3/16/18,"27,004"
3/17/18,"27,042"
3/18/18,"27,502"
3/19/18,"27,595"
3/20/18,"27,907"
3/21/18,"27,981"
3/22/18,"28,109"
3/23/18,"27,939"
3/24/18,"27,753"
3/25/18,"27,666"
3/26/18,"29,791"
3/27/18,"30,087"
3/28/18,"30,419"
3/29/18,"30,538"
3/30/18,"31,028"
3/31/18,"31,010"
4/1/18,"31,565"
4/2/18,"32,721"
4/3/18,"33,124"
4/4/18,"33,654"
4/5/18,"34,096"
4/6/18,"34,844"
4/7/18,"35,481"
4/8/18,"34,714"
4/9/18,"36,075"
4/10/18,"35,928"
4/11/18,"36,320"
4/12/18,"36,116"
4/13/18,"36,049"
4/14/18,"36,116"
4/15/18,"36,581"
4/16/18,"36,827"
4/17/18,"36,930"
4/18/18,"37,114"
4/19/18,"37,055"
4/20/18,"36,746"
4/21/18,"37,733"
4/22/18,"37,257"
4/23/18,"36,812"
4/24/18,"36,967"
4/25/18,"36,847"
4/26/18,"36,720"
4/27/18,"36,705"
4/28/18,"36,456"
4/29/18,"36,424"
4/30/18,"36,500"
5/1/18,"36,693"
5/2/18,"36,396"
5/3/18,"36,339"
5/4/18,"36,171"
5/5/18,"36,265"
5/6/18,"36,735"
5/7/18,"36,045"
5/8/18,"36,037"
5/9/18,"35,696"
5/10/18,"36,452"
5/11/18,"35,464"
5/12/18,"35,618"
5/13/18,"36,279"
5/14/18,"35,403"
5/15/18,"35,282"
5/16/18,"35,242"
5/17/18,"35,483"
5/18/18,"35,331"
5/19/18,"35,706"
5/20/18,"36,174"
5/21/18,"35,391"
5/22/18,"35,455"
5/23/18,"35,317"
5/24/18,"34,932"
5/25/18,"34,975"
5/26/18,"35,480"
5/27/18,"35,500"
5/28/18,"35,089"
5/29/18,"35,053"
5/30/18,"34,788"
5/31/18,"34,862"
6/1/18,"35,744"
6/2/18,"35,294"
6/3/18,"35,603"
6/4/18,"34,605"
6/5/18,"34,076"
6/6/18,"34,393"
6/7/18,"34,335"
6/8/18,"34,665"
6/9/18,"34,853"
6/10/18,"35,024"
6/11/18,"35,596"
6/12/18,"35,371"
6/13/18,"35,206"
6/14/18,"35,652"
6/15/18,"35,828"
6/16/18,"36,500"
6/17/18,"35,733"
6/18/18,"35,389"
6/19/18,"35,290"
6/20/18,"34,988"
6/21/18,"34,902"
6/22/18,"34,735"
6/23/18,"34,588"
6/24/18,"34,773"
6/25/18,"34,091"
6/26/18,"34,083"
6/27/18,"34,134"
6/28/18,"33,476"
6/29/18,"33,358"
6/30/18,"33,206"
7/1/18,"33,167"
7/2/18,"32,420"
7/3/18,"31,968"
7/4/18,"31,862"
7/5/18,"31,727"
7/6/18,"31,670"
7/7/18,"31,088"
7/8/18,"31,309"
7/9/18,"31,094"
7/10/18,"30,970"
7/11/18,"30,510"
7/12/18,"30,520"
7/13/18,"30,392"
7/14/18,"30,706"
7/15/18,"30,743"
7/16/18,"29,564"
7/17/18,"29,518"
7/18/18,"28,999"
7/19/18,"29,212"
7/20/18,"28,708"
7/21/18,"29,132"
7/22/18,"29,029"
7/23/18,"28,311"
7/24/18,"28,078"
7/25/18,"27,897"
7/26/18,"27,658"
7/27/18,"27,286"
7/28/18,"27,559"
7/29/18,"27,309"
7/30/18,"26,887"
7/31/18,"26,973"
8/1/18,"27,093"
8/2/18,"26,808"
8/3/18,"27,065"
8/4/18,"27,103"
8/5/18,"27,000"
8/6/18,"27,016"
8/7/18,"26,546"
8/8/18,"26,540"
8/9/18,"26,529"
8/10/18,"26,708"
8/11/18,"26,559"
8/12/18,"27,162"
8/13/18,"26,371"
8/14/18,"26,198"
8/15/18,"26,365"
8/16/18,"26,311"
8/17/18,"26,338"
8/18/18,"26,897"
8/19/18,"26,750"
8/20/18,"26,551"
8/21/18,"26,565"
8/22/18,"26,544"
8/23/18,"26,398"
8/24/18,"26,429"
8/25/18,"26,346"
8/26/18,"26,618"
8/27/18,"25,939"
8/28/18,"25,857"
8/29/18,"25,581"
8/30/18,"25,522"
8/31/18,"25,470"
9/1/18,"25,632"
9/2/18,"25,324"
9/3/18,"25,108"
9/4/18,"25,088"
9/5/18,"24,992"
9/6/18,"24,680"
9/7/18,"24,552"
9/8/18,"24,559"
9/9/18,"24,750"
9/10/18,"24,003"
9/11/18,"23,838"
9/12/18,"24,033"
9/13/18,"23,923"
9/14/18,"23,719"
9/15/18,"23,799"
9/16/18,"23,588"
9/17/18,"23,216"
9/18/18,"23,128"
9/19/18,"23,008"
9/20/18,"22,971"
9/21/18,"22,847"
9/22/18,"22,788"
9/23/18,"22,779"
9/24/18,"22,603"
9/25/18,"22,220"
9/26/18,"22,080"
9/27/18,"21,916"
9/28/18,"21,857"
9/29/18,"21,780"
9/30/18,"21,833"
10/1/18,"21,435"
10/2/18,"20,749"
10/3/18,"20,779"
10/4/18,"20,627"
10/5/18,"20,650"
10/6/18,"21,136"
10/7/18,"21,030"
10/8/18,"20,525"
10/9/18,"20,537"
10/10/18,"20,695"
10/11/18,"20,741"
10/12/18,"21,005"
10/13/18,"22,227"
10/14/18,"21,576"
10/15/18,"21,703"
10/16/18,"21,781"
10/17/18,"22,020"
10/18/18,"22,300"
10/19/18,"22,281"
10/20/18,"23,015"
10/21/18,"22,971"
10/22/18,"22,820"
10/23/18,"22,803"
10/24/18,"22,867"
10/25/18,"22,774"
10/26/18,"23,111"
10/27/18,"23,235"
10/28/18,"23,368"
10/29/18,"23,052"
10/30/18,"22,991"
10/31/18,"23,013"
11/1/18,"23,204"
11/2/18,"23,394"
11/3/18,"23,412"
11/4/18,"23,515"
11/5/18,"23,203"
11/6/18,"23,241"
11/7/18,"23,344"
11/8/18,"23,417"
11/9/18,"23,384"
11/10/18,"24,088"
11/11/18,"24,029"
11/12/18,"23,938"
11/13/18,"24,105"
11/14/18,"24,360"
11/15/18,"24,501"
11/16/18,"24,489"
11/17/18,"24,912"
11/18/18,"25,103"
11/19/18,"25,058"
11/20/18,"24,647"
11/21/18,"25,074"
11/22/18,"25,406"
11/23/18,"25,316"
11/24/18,"25,838"
11/25/18,"26,162"
11/26/18,"25,686"
11/27/18,"25,899"
11/28/18,"25,811"
11/29/18,"25,989"
11/30/18,"26,221"
12/1/18,"27,132"
12/2/18,"27,007"
12/3/18,"26,708"
12/4/18,"26,841"
12/5/18,"26,807"
12/6/18,"27,143"
12/7/18,"27,500"
12/8/18,"28,441"
12/9/18,"28,265"
12/10/18,"28,294"
12/11/18,"28,573"
12/12/18,"28,867"
12/13/18,"28,888"
12/14/18,"28,697"
12/15/18,"29,426"
12/16/18,"29,265"
12/17/18,"29,350"
12/18/18,"29,403"
12/19/18,"29,583"
12/20/18,"29,707"
12/21/18,"30,063"
12/22/18,"31,311"
12/23/18,"30,338"
12/24/18,"30,539"
12/25/18,"30,369"
12/26/18,"30,303"
12/27/18,"30,535"
12/28/18,"30,677"
12/29/18,"30,726"
12/30/18,"30,685"
12/31/18,"30,656"
1/1/19,
1/2/19,"31,499"
1/3/19,"31,915"
1/4/19,"32,543"
1/5/19,
1/6/19,
1/7/19,"32,093"
1/8/19,"32,328"
1/9/19,"32,804"
1/10/19,"32,780"
1/11/19,"32,873"
1/12/19,"40,000"
1/13/19,
1/14/19,"32,772"
1/15/19,"32,962"
1/16/19,"33,021"
1/17/19,"32,474"
1/18/19,"32,176"
1/19/19,
1/20/19,
1/21/19,"31,292"
1/22/19,"31,609"
1/23/19,"31,338"
1/24/19,"31,664"
1/25/19,"31,392"
1/26/19,
1/27/19,
1/28/19,"30,582"
1/29/19,"30,300"
1/30/19,"29,994"
1/31/19,"30,122"
2/1/19,"29,822"
2/2/19,
2/3/19,
2/4/19,"29,067"
2/5/19,
2/6/19,"28,757"
2/7/19,"28,628"
2/8/19,"28,586"
2/9/19,
2/10/19,
2/11/19,"28,106"
2/12/19,"28,325"
2/13/19,"28,170"
2/14/19,"27,806"
2/15/19,"28,085"
2/16/19,
2/17/19,
2/18/19,"28,031"
2/19/19,"27,964"
2/20/19,"28,041"
2/21/19,"27,866"
2/22/19,"27,571"
2/23/19,
2/24/19,
2/25/19,"27,894"
2/26/19,"27,885"
2/27/19,"28,188"
2/28/19,"28,464"
3/1/19,"28,382"
3/2/19,
3/3/19,
3/4/19,"28,681"
3/5/19,"29,399"
3/6/19,"29,699"
3/7/19,
3/8/19,"30,129"
3/9/19,
3/10/19,
3/11/19,"31,164"
3/12/19,"31,418"
3/13/19,"31,516"
3/14/19,"31,966"
3/15/19,"32,112"
3/16/19,
3/17/19,
3/18/19,"32,379"
3/19/19,"32,878"
3/20/19,"33,064"
